batch_size,body_text_combined,data_text,decay,embedding_matrix_path,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_period,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,model_folder,month_window,mt_target,n_embedding,patience,test_F1,test_precision,test_recall,testing_group,tokenizer,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,diff,pci
256,1,.//data/output/database.db,6.974496820947245e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.34221561910727827,2,54,0.5161290322580646,3,0.6404494382022472,0.4322274881516588,1,0.002567275546474004,0.11858893202620381,4,117,62,10315,0.43114959871931763,1,43,1546513270,.//models/window_10_years_quarterly/,120,1,144,3,0.8435094920472037,0.8686157097569567,0.819813829787234,"[1, 2]",./data/output/tokenizer.pkl,0.9493262697224462,0.9685113382681236,0.9308865047995483,"[5, 6, 7, 8, 9, 10]",0.8418166238217653,0.8635724331926864,0.8211300568371782,"[3, 4]",0.314233813937219,1950,0.3273804597891391,0.3273804597891391
256,1,.//data/output/database.db,0.00011459977736879023,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.41962937679083107,1,38,0.5466351829988193,3,0.5823899371069182,0.5150166852057843,1,0.0034713202680047087,0.13208645479017486,8,96,63,10038,0.30783438186226025,1,46,1546611852,.//models/window_10_years_quarterly/,120,10,148,3,0.8022533583706487,0.8425364077669902,0.7656465398400882,"[1, 2]",./data/output/tokenizer.pkl,0.9125556200425614,0.9444388827710481,0.8827547487601759,"[5, 6, 7, 8, 9, 10]",0.803757225433526,0.8394204648354965,0.7710008317161076,"[3, 4]",0.31626109971705046,1950,0.2556181753718294,0.2556181753718294
256,1,.//data/output/database.db,6.653913395552943e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.4541958594331984,3,42,0.5659838018103859,3,0.5429616087751371,0.591044776119403,1,0.002267196480010718,0.12098571380476662,3,111,61,10419,0.48062001298974405,1,58,1546610865,.//models/window_10_years_quarterly/,120,4,200,3,0.8292323559746575,0.7891194615816041,0.8736417261719963,"[1, 2]",./data/output/tokenizer.pkl,0.9136156738571146,0.860725272676424,0.9734317343173432,"[5, 6, 7, 8, 9, 10]",0.8212603062426385,0.7770966843131791,0.8707461754605058,"[3, 4]",0.3521106902254281,1950,0.2632485541642716,0.2632485541642716
256,1,.//data/output/database.db,0.00015391103089402235,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.25980304353064654,2,33,0.555137170521786,3,0.6056338028169014,0.5124131082423039,1,0.002348674387651044,0.14328351934916894,5,143,46,10925,0.45840781495058175,2,41,1548391855,.//models/window_10_years_quarterly/,120,7,205,3,0.8236869513465258,0.8395511070670306,0.8084112149532711,"[1, 2]",./data/output/tokenizer.pkl,0.8977341086825747,0.90783737199635,0.8878532473971245,"[5, 6, 7, 8, 9, 10]",0.8160237388724035,0.8245877061469266,0.8076358296622613,"[3, 4]",0.38390448462594473,1950,0.2685497808247398,0.2685497808247398
256,1,.//data/output/database.db,0.0001142037916652967,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3176370719246393,1,44,0.6555106751298326,3,0.6753864447086801,0.6367713004484304,1,0.003755466329355272,0.1383046886337942,6,99,45,7898,0.4515356948582292,1,40,1546612286,.//models/window_10_years_quarterly/,120,1,172,3,0.8002155462750908,0.8220315527262663,0.7795275590551181,"[1, 2]",./data/output/tokenizer.pkl,0.8900413993903826,0.9091923041174831,0.8716806273391552,"[5, 6, 7, 8, 9, 10]",0.8024824608742579,0.8206401766004415,0.7851108764519535,"[3, 4]",0.35868250812784547,1951,0.1447048711452582,0.1447048711452582
256,1,.//data/output/database.db,6.17866202175954e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.29836647599406113,2,32,0.7829218106995885,3,0.7927083333333333,0.7733739837398373,1,0.002885809162842909,0.13159943190582377,6,60,64,12372,0.5573681335341341,1,51,1548393772,.//models/window_10_years_quarterly/,120,10,182,3,0.8018486424032353,0.8134083450539147,0.7906128958760538,"[1, 2]",./data/output/tokenizer.pkl,0.888300770607924,0.893796992481203,0.8828717313940895,"[5, 6, 7, 8, 9, 10]",0.794049815498155,0.798469387755102,0.7896788990825688,"[3, 4]",0.33822032185174805,1951,0.01892683170364673,0.01892683170364673
256,1,.//data/output/database.db,7.590054274141973e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3579108933606155,2,46,0.7093821510297482,3,0.793854033290653,0.6411582213029989,1,0.003188291057641528,0.13967452041285128,7,85,53,10406,0.5085508695406684,1,41,1546513784,.//models/window_10_years_quarterly/,120,4,205,3,0.7912986156888596,0.8347705146036162,0.7521303258145363,"[1, 2]",./data/output/tokenizer.pkl,0.9029220207709909,0.935272130549731,0.8727350063802637,"[5, 6, 7, 8, 9, 10]",0.784625579854208,0.8272778088317496,0.7461557852281321,"[3, 4]",0.33031931661791414,1951,0.0819164646591114,0.0819164646591114
256,1,.//data/output/database.db,8.139312015126197e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.2701394903225665,3,36,0.7284014485256078,3,0.7513340448239061,0.7068273092369478,1,0.002773520285299535,0.18459810282654146,5,81,58,10215,0.6708348589096603,1,52,1548393213,.//models/window_10_years_quarterly/,120,7,199,3,0.7934701953994558,0.8225641025641026,0.7663640707118968,"[1, 2]",./data/output/tokenizer.pkl,0.8784248704663212,0.8984991096413126,0.8592280246513136,"[5, 6, 7, 8, 9, 10]",0.7927146574154379,0.818158567774936,0.7688055755827926,"[3, 4]",0.34155024854333504,1951,0.065068746873848,0.065068746873848
256,1,.//data/output/database.db,4.692998947243675e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.29989605784484824,3,36,0.7347417840375587,3,0.770935960591133,0.7017937219730942,1,0.0030745662232936977,0.1725942561068913,5,81,62,13229,0.44121507426670104,3,40,1546613756,.//models/window_10_years_quarterly/,120,1,215,3,0.7884955752212389,0.8007189395641429,0.7766397908040967,"[1, 2]",./data/output/tokenizer.pkl,0.9027585949456867,0.9107479099194095,0.8949082297217288,"[5, 6, 7, 8, 9, 10]",0.79247396124986,0.809425760695493,0.7762176393154893,"[3, 4]",0.3364809247021178,1952,0.05375379118368018,0.05375379118368018
256,1,.//data/output/database.db,8.050830949789909e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.30082790273171994,1,39,0.6927751519243754,3,0.8287560581583199,0.5951276102088167,1,0.0032709601071024648,0.20097006588781766,6,79,61,9102,0.7189132430471137,1,41,1546615156,.//models/window_10_years_quarterly/,120,10,182,3,0.7937233091667494,0.8196923076923077,0.7693492491336157,"[1, 2]",./data/output/tokenizer.pkl,0.8868796463733174,0.9085420240137221,0.8662262052724538,"[5, 6, 7, 8, 9, 10]",0.7917702017692079,0.8120285423037716,0.7724980605120249,"[3, 4]",0.3245666223135944,1952,0.10094815724237394,0.10094815724237394
