batch_size,body_text_combined,data_directory,decay,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,n_embedding,patience,qt_target,test_F1,test_precision,test_recall,testing_group,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,year_window
256,1,../02 Data processing/Output/proc_data/,0.00011872943737955118,../02 Data processing/Output/embedding_matrix.pkl,100,0.2975386180567671,2,39,0.6525529265255292,0.7338935574229691,0.5874439461883408,1,0.0022994033113631035,0.0788689418665765,6,112,107,8830,0.26139886287097785,6,44,1539823542,119,3,1,0.7850267379679144,0.7911614120183239,0.7789864685592995,[1],0.8587267525035766,0.8663178784051957,0.8512675057613899,"[3, 4, 5]",0.7986017746706103,0.8094848732624693,0.7880074290262669,[2],0.2754791285264626,1951,5
256,1,../02 Data processing/Output/proc_data/,0.00015556695172349585,../02 Data processing/Output/embedding_matrix.pkl,100,0.23256804646673004,3,35,0.7061403508771931,0.751458576429405,0.6659772492244054,1,0.0021570165056015323,0.09723926834490772,6,102,66,11311,0.29897081759339217,6,37,1539827130,93,3,2,0.7917520491803279,0.8007772020725389,0.7829280648429585,[1],0.8528884717126035,0.8600068834968164,0.845886932972241,"[3, 4, 5]",0.7953470535600153,0.8028387096774193,0.7879939209726444,[2],0.33468438236504144,1951,5
256,1,../02 Data processing/Output/proc_data/,0.00012582579732373664,../02 Data processing/Output/embedding_matrix.pkl,100,0.17821502655926108,4,35,0.7530925284512617,0.7424390243902439,0.7640562248995983,1,0.002284758925238652,0.09564104974347087,6,113,78,10786,0.2501076730501424,8,42,1539828571,81,3,3,0.777698355968549,0.7486238532110092,0.8091224590976698,[1],0.8542221868660753,0.8216389930369576,0.8894963552021206,"[3, 4, 5]",0.7870105062082138,0.7590971902349147,0.8170550322260783,[2],0.3352128059713393,1951,5
256,1,../02 Data processing/Output/proc_data/,0.0001057673378552546,../02 Data processing/Output/embedding_matrix.pkl,100,0.18584758912641205,3,29,0.7573570238756246,0.8347613219094248,0.693089430894309,1,0.002196020041962075,0.09586012169280189,6,104,82,10680,0.1786032073209503,9,46,1539919428,106,3,4,0.7702412868632706,0.8325123152709359,0.7166375654776752,[1],0.8620903454384411,0.9195087387812942,0.8114214255939975,"[3, 4, 5]",0.7832373811755255,0.8451314648945392,0.7297904191616766,[2],0.26766746909117134,1951,5
256,1,../02 Data processing/Output/proc_data/,0.00011035047935004722,../02 Data processing/Output/embedding_matrix.pkl,100,0.2554334171349325,3,27,0.7590361445783131,0.7419700214132763,0.7769058295964125,1,0.0016928634736950298,0.07083745081789952,1,126,74,7903,0.2238924598435024,6,33,1539919657,140,3,1,0.7825210930613272,0.7814386317907445,0.7836065573770492,[1],0.8503825090924293,0.8436463171864632,0.8572271386430679,"[3, 4, 5]",0.7900427457882825,0.787468671679198,0.7926337033299697,[2],0.35792111362154644,1952,5
256,1,../02 Data processing/Output/proc_data/,0.0001252617678873727,../02 Data processing/Output/embedding_matrix.pkl,100,0.26309708948435195,2,37,0.7771144278606964,0.7495201535508638,0.8068181818181818,1,0.001576882928435773,0.07931398021635895,6,152,119,11032,0.3049986949072159,6,33,1539832033,104,3,2,0.7796986910348235,0.7603564547206165,0.8000506842372023,[1],0.8915166247785422,0.8680895450533579,0.9162432249322493,"[3, 4, 5]",0.7882816346627277,0.7662120124431682,0.8116603295310519,[2],0.3456029370782175,1952,5
256,1,../02 Data processing/Output/proc_data/,9.04594739621619e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.37242226949297136,1,48,0.7820453493752892,0.8101629913710451,0.7558139534883721,1,0.0018420466481359709,0.09283890550368501,5,180,95,11860,0.26831590464880983,4,40,1539947928,89,3,3,0.7840938057608973,0.7875064004096262,0.7807106598984772,[1],0.8556450260023486,0.8462750954040152,0.8652247667514843,"[3, 4, 5]",0.7874856924837849,0.7889908256880734,0.785986290936786,[2],0.4859252436683775,1952,5
256,1,../02 Data processing/Output/proc_data/,7.717139648372608e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.37110809991093746,2,45,0.7271662763466042,0.7340425531914894,0.7204176334106729,1,0.0015419593708417838,0.08282216729419363,3,142,110,13302,0.24145631500015807,3,38,1539896921,89,3,4,0.773927186288002,0.7646477132262052,0.7834346504559271,[1],0.9123811895571329,0.8950325732899023,0.9304156437822738,"[3, 4, 5]",0.7797334674377672,0.7738956825555279,0.7856599949328604,[2],0.44963608819107204,1952,5
256,1,../02 Data processing/Output/proc_data/,0.00010305217211256361,../02 Data processing/Output/embedding_matrix.pkl,100,0.3853503587966335,1,27,0.770442156268928,0.7979924717691342,0.7447306791569087,1,0.0017890163178429811,0.04954986843590925,4,416,53,9716,0.23043340418570854,5,42,1539951033,108,3,1,0.7829841269841269,0.7809017223910841,0.7850776674306086,[1],0.8540590483390029,0.8428381962864722,0.8655827019664595,"[3, 4, 5]",0.7818158794478917,0.7773860488541929,0.7862964849719817,[2],0.4183786324331873,1953,5
256,1,../02 Data processing/Output/proc_data/,7.49393884256605e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.2174886270729134,2,32,0.796039603960396,0.7798254122211445,0.8129423660262892,1,0.002371575170617226,0.10984820076645387,3,171,78,9778,0.2048955801603729,5,60,1539952299,88,3,2,0.7807363995413427,0.785439630863881,0.7760891590678825,[1],0.891043590922389,0.879755715111001,0.9026248941574937,"[3, 4, 5]",0.7771312926890969,0.775953523617075,0.7783126425133012,[2],0.4791814281712863,1953,5
