batch_size,body_text_combined,data_text,decay,embedding_matrix_path,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_period,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,model_folder,month_window,mt_target,n_embedding,patience,test_F1,test_precision,test_recall,testing_group,tokenizer,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,diff,pci
256,1,.//data/output/database.db,6.161856218974007e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3131456889279702,3,41,0.6720098643649816,3,0.7465753424657534,0.6109865470852018,1,0.0019625532988266437,0.0573329887820026,6,65,116,5639,0.3347007490290522,2,83,1546683798,.//models/window_5_years_quarterly/,60,1,143,3,0.8025669033315129,0.8363688104723961,0.7713910761154855,"[1, 2]",./data/output/tokenizer.pkl,0.8464692063199594,0.8761323543434729,0.8187488861165567,"[5, 6, 7, 8, 9, 10]",0.8066237854112495,0.8374538221085536,0.7779831045406547,"[3, 4]",0.43888601144526723,1951,0.13055703896653137,0.13055703896653137
256,1,.//data/output/database.db,0.00014049710897231607,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3089682165537534,4,41,0.7765957446808511,3,0.8147321428571429,0.741869918699187,1,0.0018596564675173789,0.0813586808192898,4,128,51,7407,0.36034998780685296,2,34,1546250001,.//models/window_5_years_quarterly/,60,10,142,3,0.7930073473524195,0.8148919552199948,0.77226745620528,"[1, 2]",./data/output/tokenizer.pkl,0.8577876181554969,0.871894745953432,0.8441297242939747,"[5, 6, 7, 8, 9, 10]",0.7933443414200433,0.8118014036911879,0.7757078986587184,"[3, 4]",0.24566151365232872,1951,0.01641160267156838,0.01641160267156838
256,1,.//data/output/database.db,7.386599983979265e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.35175509988687154,1,37,0.7086788280818132,3,0.7612826603325415,0.6628748707342296,1,0.0019799764825908523,0.09363824498761869,4,68,57,11744,0.3166210506068903,3,92,1546684422,.//models/window_5_years_quarterly/,60,4,159,3,0.7960339943342777,0.8185911016949152,0.77468671679198,"[1, 2]",./data/output/tokenizer.pkl,0.8688061840448168,0.8874201561391057,0.850957039557635,"[5, 6, 7, 8, 9, 10]",0.7972279260780288,0.8120261437908497,0.7829594151751954,"[3, 4]",0.3896555690590261,1951,0.08735516625246453,0.08735516625246453
256,1,.//data/output/database.db,8.521342465813907e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3412345623187318,1,26,0.7489539748953975,3,0.7816593886462883,0.7188755020080321,1,0.002343207229425567,0.11514620963112641,4,140,54,7601,0.5208118313060637,2,34,1546249439,.//models/window_5_years_quarterly/,60,7,134,3,0.7873243171572527,0.8566070398153491,0.7284102060843964,"[1, 2]",./data/output/tokenizer.pkl,0.8792420940265978,0.9438502673796791,0.8229123303638332,"[5, 6, 7, 8, 9, 10]",0.790185676392573,0.8543160309721823,0.7350111028867505,"[3, 4]",0.3333119823556185,1951,0.038370342261855206,0.038370342261855206
256,1,.//data/output/database.db,0.00011208277279754441,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.29475202480527113,1,39,0.7527839643652561,3,0.7477876106194691,0.757847533632287,1,0.0022603966529094895,0.05470113420387478,5,84,61,7971,0.48888741957938775,2,44,1546496779,.//models/window_5_years_quarterly/,60,1,105,3,0.7892211148025101,0.7791545189504373,0.7995512341062079,"[1, 2]",./data/output/tokenizer.pkl,0.8680840482407062,0.8495295262816352,0.8874671637996779,"[5, 6, 7, 8, 9, 10]",0.7955188969592515,0.7802463173146583,0.811401305876444,"[3, 4]",0.4310680602398087,1952,0.03643715043725404,0.03643715043725404
256,1,.//data/output/database.db,9.638348593408242e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.33958086285899325,2,22,0.7377938517179023,3,0.767879548306148,0.7099767981438515,1,0.002001269178425138,0.04863843402663139,5,118,55,5241,0.5888948205823196,1,31,1546687731,.//models/window_5_years_quarterly/,60,10,194,3,0.785519464418547,0.7781871775976419,0.792991239048811,"[1, 2]",./data/output/tokenizer.pkl,0.8503106118628202,0.8503829787234043,0.8502382573179034,"[5, 6, 7, 8, 9, 10]",0.7913777889827304,0.790281973816717,0.792476647311285,"[3, 4]",0.3095250960279306,1952,0.04772561270064468,0.04772561270064468
256,1,.//data/output/database.db,0.00016241946044749794,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.4061501564162909,4,47,0.7550684931506849,3,0.8039673278879813,0.7117768595041323,1,0.0017482198406602487,0.08735253287887,5,120,77,7802,0.3472141674141407,2,43,1546250806,.//models/window_5_years_quarterly/,60,4,120,3,0.7875486381322958,0.8165680473372781,0.7605210420841684,"[1, 2]",./data/output/tokenizer.pkl,0.8220212485731846,0.8485452732710959,0.7971051511281396,"[5, 6, 7, 8, 9, 10]",0.7870950888192267,0.8156469951272334,0.7604745078243311,"[3, 4]",0.22376996312290737,1952,0.03248014498161089,0.03248014498161089
256,1,.//data/output/database.db,9.683272839345166e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.23667071838843015,2,40,0.7607421874999999,3,0.8376344086021505,0.6967799642218246,1,0.001987263991297553,0.09406147268045809,5,161,80,7487,0.4055139754623863,1,46,1546251837,.//models/window_5_years_quarterly/,60,7,119,3,0.7934640522875817,0.8285558285558285,0.7612239779282669,"[1, 2]",./data/output/tokenizer.pkl,0.8621873467385973,0.9034759857970472,0.8245075466871322,"[5, 6, 7, 8, 9, 10]",0.7936212624584718,0.8364145658263306,0.7549936788874841,"[3, 4]",0.3321287817255661,1952,0.03272186478758177,0.03272186478758177
256,1,.//data/output/database.db,0.00013981397628412356,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.23489636130315844,2,39,0.7399756986634264,3,0.7689393939393939,0.7131147540983607,1,0.0023788360175604037,0.07915907937464706,6,128,71,6095,0.4181025230629641,2,37,1546165571,.//models/window_5_years_quarterly/,60,1,165,3,0.7773289573340065,0.7796910610281084,0.7749811225773975,"[1, 2]",./data/output/tokenizer.pkl,0.8822046571245461,0.881112912861654,0.8832991101984942,"[5, 6, 7, 8, 9, 10]",0.7884811416921508,0.7915067792274239,0.7854785478547854,"[3, 4]",0.388867902900299,1953,0.03735325867058015,0.03735325867058015
256,1,.//data/output/database.db,0.00013541617335288865,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.20106333382781422,3,32,0.6965352449223416,3,0.7083839611178615,0.6850763807285546,1,0.0023904267958903785,0.06761039060334058,5,122,74,6522,0.4833137948332564,1,40,1546166837,.//models/window_5_years_quarterly/,60,10,138,3,0.7763881940970485,0.7848293299620733,0.7681267013115566,"[1, 2]",./data/output/tokenizer.pkl,0.8989547038327526,0.896883900150779,0.9010350921484473,"[5, 6, 7, 8, 9, 10]",0.7904582548650345,0.7943477163764825,0.7866066966516742,"[3, 4]",0.3943487783318219,1953,0.07985294917470687,0.07985294917470687
