batch_size,body_text_combined,data_directory,decay,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,n_embedding,patience,qt_target,test_F1,test_precision,test_recall,testing_group,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,year_window
256,1,../02 Data processing/Output/proc_data/,0.0001,../02 Data processing/output/embedding_matrix.pkl,100,0.3,2,40,0.5925473427000612,0.8754512635379061,0.44783010156971376,1,0.002,0.1,5,100,80,10000,0.4,2,50,1539367333,150,3,1,0.8016744441394456,0.860362350861688,0.7504818193498651,[1],0.8638576693816262,0.9183476031538722,0.8154718439929556,"[3, 4, 5]",0.7952652948867938,0.8556197245668592,0.7428644895860118,[2],0.3,1956,10
256,1,../02 Data processing/Output/proc_data/,9.450525790156232e-05,../02 Data processing/output/embedding_matrix.pkl,100,0.288058311986668,4,52,0.75531471446436,0.6931905126243305,0.8296703296703297,1,0.001628062200227245,0.12161010251482889,2,140,79,10625,0.4285889029976146,1,73,1539369184,119,3,2,0.8002351557907114,0.7553829078801332,0.85075,[1],0.8763300738766632,0.825061805837423,0.934391976598412,"[3, 4, 5]",0.8003297415062121,0.7561192701379618,0.8500312695434646,[2],0.2327231458828721,1956,10
256,1,../02 Data processing/Output/proc_data/,9.134979186281837e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.3390911785000731,3,52,0.48148148148148145,0.44049586776859506,0.5308764940239044,1,0.001368429386989227,0.1499485824849142,2,178,60,9965,0.3843363191478134,2,110,1539568020,81,3,3,0.798299893743359,0.8095841784989858,0.7873258537788189,[1],0.8582230623818525,0.8651059552726359,0.8514488273360538,"[3, 4, 5]",0.8008283132530121,0.8149425287356322,0.7871946706143598,[2],0.17911203226481728,1956,10
256,1,../02 Data processing/Output/proc_data/,6.355644300344179e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.1931781116930986,2,56,0.5410022779043281,0.5900621118012422,0.49947423764458465,1,0.0011811006246608474,0.15712439571950923,1,110,68,8741,0.247550750333463,1,112,1539568538,117,3,4,0.7969944293302241,0.8368929397360904,0.7607270928650921,[1],0.8844630092153991,0.9228937317456751,0.8491049650667659,"[3, 4, 5]",0.7952873787671678,0.8390330998489218,0.7558772581044296,[2],0.26865146306992504,1956,10
256,1,../02 Data processing/Output/proc_data/,8.824259026342994e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.27376238270388087,1,43,0.6044665012406948,0.54375,0.6804469273743017,1,0.001764004252324798,0.18245962907091207,4,119,60,7167,0.2839570660039841,2,102,1539490535,113,3,1,0.7943954076908832,0.7882165605095541,0.8006718924972005,[1],0.8741007931465579,0.8614769330209259,0.8871001289571113,"[3, 4, 5]",0.7936370922991554,0.7860283341475329,0.8013945959407297,[2],0.33396820899785273,1957,10
256,1,../02 Data processing/Output/proc_data/,8.885736013200194e-05,../02 Data processing/Output/embedding_matrix.pkl,100,0.32551926716174784,1,40,0.6377998829724986,0.6055555555555555,0.6736711990111248,1,0.001338776222892815,0.26825623563257844,4,138,59,6794,0.2573356044811263,4,96,1539571296,135,3,2,0.797606223818073,0.7666820064427059,0.8311299575954103,[1],0.8640618802062674,0.8240211840363155,0.9081926203877423,"[3, 4, 5]",0.7930025673174518,0.7601007210713059,0.8288816774837744,[2],0.48018050849778365,1957,10
256,1,../02 Data processing/Output/proc_data/,0.00013066793576569174,../02 Data processing/Output/embedding_matrix.pkl,100,0.16682161060575856,1,52,0.5746436609152288,0.6278688524590164,0.5297372060857538,1,0.0014813265287745329,0.1724328528074044,3,152,37,7685,0.18039228099823465,3,118,1539626734,114,3,3,0.8003730100579498,0.8542584956633016,0.7528822055137845,[1],0.8527227450029751,0.8996512438967682,0.8104473860589813,"[3, 4, 5]",0.7973891035033968,0.850284090909091,0.7506897416603963,[2],0.3414046898344537,1957,10
256,1,../02 Data processing/Output/proc_data/,0.00012759254775729064,../02 Data processing/Output/embedding_matrix.pkl,100,0.21009618677797123,2,41,0.5156794425087108,0.597979797979798,0.45329249617151607,1,0.0013146276159632406,0.2610713093323346,2,142,49,6664,0.17485273911926735,2,116,1539628299,123,3,4,0.7968235521983343,0.8141160949868074,0.780250347705146,[1],0.8453172205438068,0.8635041001675338,0.8278806323442387,"[3, 4, 5]",0.792998379254457,0.8130816272268013,0.7738833354422371,[2],0.39290683321752146,1957,10
256,1,../02 Data processing/Output/proc_data/,0.00018005713444168474,../02 Data processing/Output/embedding_matrix.pkl,100,0.22479264369309548,1,54,0.45264040234702424,0.5202312138728323,0.40059347181008903,1,0.0017460080596462268,0.2559815988563316,3,118,38,9353,0.21998638395115688,5,81,1539629510,96,3,1,0.7861520406832703,0.8047250400427123,0.7684170277848585,[1],0.8454586827904557,0.8602046216263891,0.8312097839519325,"[3, 4, 5]",0.7825404096590538,0.8035210321193388,0.7626275510204081,[2],0.41905115391159903,1958,10
256,1,../02 Data processing/Output/proc_data/,0.00014670545447175153,../02 Data processing/output/embedding_matrix.pkl,100,0.16775422486238023,3,47,0.5071633237822349,0.5244444444444445,0.4909847434119279,1,0.0009559704173706168,0.16014669748361904,3,147,46,8926,0.2898277005438689,2,67,1539376892,158,3,2,0.7873847890149852,0.7734663710273466,0.8018133060911761,[1],0.8318997912317327,0.8139553885121333,0.8506532320040987,"[3, 4, 5]",0.7786479543888227,0.7637659783677483,0.7941214057507987,[2],0.3979255652085672,1958,10
