batch_size,body_text_combined,data_gm,decay,embedding_matrix_path,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_period,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,model_folder,month_window,mt_target,n_embedding,patience,test_F1,test_precision,test_recall,testing_group,tokenizer,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,diff,pci
256,1,.//data/output/database.db,9.247739057724215e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3533928616385809,3,17,0.3787878787878788,3,0.27075812274368233,0.6302521008403361,1,0.10635567212921698,0.44217107094551783,1,22,45,9090,0.0,1,3,1545110366,.//models/window_5_years_quarterly/,60,1,23,10,0.3660855784469097,0.26013513513513514,0.6176470588235294,"[1, 5]",./data/output/tokenizer.pkl,0.4431137724550898,0.3033917256802087,0.8213925327951564,"[3, 4, 7, 8, 9, 10]",0.340080971659919,0.2394526795895097,0.5865921787709497,"[2, 6]",1.032557552326044,1970,-0.012702300340969086,0.012702300340969086
256,1,.//data/output/database.db,0.00011200931393709517,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3330855667294085,1,17,0.42953020134228187,3,0.35424354243542433,0.5454545454545454,1,0.0780165854703716,0.3161641113477817,1,21,30,8899,0.0,1,5,1545147947,.//models/window_5_years_quarterly/,60,10,19,10,0.39687055476529154,0.2946145723336853,0.6078431372549019,"[1, 5]",./data/output/tokenizer.pkl,0.5183001719479243,0.37082601054481545,0.8605220228384992,"[3, 4, 7, 8, 9, 10]",0.37636761487964987,0.2771213748657358,0.5863636363636363,"[2, 6]",0.9738420831360529,1970,-0.03265964657699033,0.03265964657699033
256,1,.//data/output/database.db,0.00010556027516416404,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.39516939987868943,5,19,0.4210526315789473,3,0.37267080745341613,0.4838709677419355,1,0.10235646122993915,0.47366905097169854,1,18,40,12287,0.0,1,2,1545187138,.//models/window_5_years_quarterly/,60,4,27,10,0.37526652452025583,0.3271375464684015,0.44,"[1, 5]",./data/output/tokenizer.pkl,0.5353271028037383,0.443343653250774,0.6754716981132075,"[3, 4, 7, 8, 9, 10]",0.36588103254769927,0.32023575638506874,0.42670157068062825,"[2, 6]",0.7447955444301994,1970,-0.04578610705869146,0.04578610705869146
256,1,.//data/output/database.db,0.0001656547907964773,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.5046684189233568,3,19,0.4555314533622559,3,0.347682119205298,0.660377358490566,1,0.08812181000954944,0.43137063566665057,1,18,32,10855,0.0,1,3,1545147780,.//models/window_5_years_quarterly/,60,7,28,10,0.3991130820399113,0.2912621359223301,0.6338028169014085,"[1, 5]",./data/output/tokenizer.pkl,0.52071638599305,0.37346625766871167,0.8596646072374228,"[3, 4, 7, 8, 9, 10]",0.3896499238964992,0.2822491730981257,0.628992628992629,"[2, 6]",0.9028798890170019,1970,-0.05641837132234462,0.05641837132234462
256,1,.//data/output/database.db,0.00010895560121959454,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.43663072560648203,2,18,0.27272727272727276,3,0.23076923076923078,0.3333333333333333,1,0.07228804202917108,0.6390235627783434,1,15,50,10367,0.0,1,1,1545114050,.//models/window_5_years_quarterly/,60,1,19,10,0.3789764868603043,0.2790224032586558,0.5905172413793104,"[1, 5]",./data/output/tokenizer.pkl,0.44894968246213973,0.3220042046250876,0.7411290322580645,"[3, 4, 7, 8, 9, 10]",0.3823316437364228,0.28175026680896476,0.5945945945945946,"[2, 6]",0.8576865017811313,1971,0.10624921413303151,0.10624921413303151
256,1,.//data/output/database.db,0.00014547544091991503,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3883636555094315,1,18,0.4281045751633987,3,0.3075117370892019,0.7043010752688172,1,0.1000024226927643,0.268076688542542,1,32,35,8262,0.0,4,3,1545168629,.//models/window_5_years_quarterly/,60,10,24,10,0.4196675900277009,0.3120494335736354,0.6405919661733616,"[1, 5]",./data/output/tokenizer.pkl,0.5821501014198782,0.4301236418134133,0.9003921568627451,"[3, 4, 7, 8, 9, 10]",0.41569767441860467,0.3108695652173913,0.6271929824561403,"[2, 6]",1.09133778182092,1971,-0.00843698513569785,0.00843698513569785
256,1,.//data/output/database.db,0.00012749084690268718,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.39501266626740755,2,27,0.4170616113744075,3,0.2802547770700637,0.8148148148148148,1,0.09141412478285041,0.7528918927295509,1,16,40,7810,0.0,4,6,1545168259,.//models/window_5_years_quarterly/,60,4,24,10,0.38461538461538464,0.25943396226415094,0.7432432432432432,"[1, 5]",./data/output/tokenizer.pkl,0.4138213044367205,0.2731443994601889,0.8532883642495784,"[3, 4, 7, 8, 9, 10]",0.36996336996337,0.24979389942291838,0.7129411764705882,"[2, 6]",1.0032307289857116,1971,-0.03244622675902287,0.03244622675902287
256,1,.//data/output/database.db,0.00010347417302760966,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.24612171433244506,1,15,0.42857142857142855,3,0.3269230769230769,0.6219512195121951,1,0.07403809067026866,0.3638015342044106,2,17,28,11641,0.0,1,5,1545168436,.//models/window_5_years_quarterly/,60,7,16,10,0.4388926401080351,0.31584062196307094,0.7190265486725663,"[1, 5]",./data/output/tokenizer.pkl,0.5377906976744186,0.38065843621399176,0.9158415841584159,"[3, 4, 7, 8, 9, 10]",0.4002770083102493,0.28642220019821607,0.664367816091954,"[2, 6]",0.8086898366491191,1971,0.010321211536606534,0.010321211536606534
256,1,.//data/output/database.db,0.00011573525363142355,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.27986909760838796,1,14,0.452513966480447,3,0.3894230769230769,0.54,1,0.10022040575629412,0.33888872736482173,1,8,27,6061,0.0,3,2,1545188673,.//models/window_5_years_quarterly/,60,1,28,10,0.4461901021209741,0.3641025641025641,0.5760649087221096,"[1, 5]",./data/output/tokenizer.pkl,0.6629930394431555,0.5414495499763146,0.8548990276738968,"[3, 4, 7, 8, 9, 10]",0.44100895036615134,0.3603723404255319,0.5681341719077568,"[2, 6]",0.8376613978727016,1972,-0.006323864359472908,0.006323864359472908
256,1,.//data/output/database.db,9.852573741660258e-05,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.2589172843083889,2,20,0.43983402489626555,3,0.31176470588235294,0.7464788732394366,1,0.10249744554601248,0.3683401951036378,1,21,38,12957,0.0,2,1,1545169519,.//models/window_5_years_quarterly/,60,10,20,10,0.45584415584415583,0.34445534838076547,0.6737044145873321,"[1, 5]",./data/output/tokenizer.pkl,0.6189365671641791,0.4641483036026583,0.9286214135759272,"[3, 4, 7, 8, 9, 10]",0.4462046204620463,0.3346534653465347,0.6693069306930693,"[2, 6]",0.9985660814103433,1972,0.016010130947890278,0.016010130947890278
