batch_size,body_text_combined,data_text,decay,embedding_matrix_path,embedding_path,epochs,fc_dropout,fc_layer,fc_neurons,forecast_F1,forecast_period,forecast_precision,forecast_recall,frontpage,lr,lstm1_dropout,lstm1_layer,lstm1_max_len,lstm1_neurons,max_words,meta_dropout,meta_layer,meta_neurons,mod_id,model_folder,month_window,mt_target,n_embedding,patience,test_F1,test_precision,test_recall,testing_group,tokenizer,train_F1,train_precision,train_recall,training_group,val_F1,val_precision,val_recall,validation_group,w,year_target,diff,pci,date,Variable
256,1,.//data/output/database.db,6.161856218974007e-5,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3131456889279702,3,41,0.6720098643649816,3,0.7465753424657534,0.6109865470852018,1,0.00196255329882664,0.0573329887820026,6,65,116,5639,0.3347007490290522,2,83,1546683798,.//models/window_5_years_quarterly/,60,1,143,3,0.8025669033315129,0.8363688104723961,0.7713910761154855,"[1, 2]",./data/output/tokenizer.pkl,0.8464692063199594,0.8761323543434729,0.8187488861165567,"[5, 6, 7, 8, 9, 10]",0.8066237854112495,0.8374538221085536,0.7779831045406547,"[3, 4]",0.4388860114452672,1951,0.13055703896653137,0.13055703896653137,1951-03-31,Five-year window
256,1,.//data/output/database.db,4.5011014973585705e-5,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.2753870281880705,4,52,0.7117070654976791,3,0.7098765432098766,0.7135470527404343,1,0.00256433425119647,0.07577152377521046,5,51,63,13372,0.18652541546276688,1,122,1555041003,.//models/window_5_years_quarterly/,60,4,112,3,0.797177208572922,0.8328782086291644,0.7644110275689223,"[1, 2]",./data/output/tokenizer.pkl,0.8807819863850586,0.9042200519666695,0.8585282858358145,"[5, 6, 7, 8, 9, 10]",0.8015625000000001,0.8289792620522488,0.7759011847743887,"[3, 4]",0.3794984070153381,1951,0.08547014307524281,0.08547014307524281,1951-06-30,Five-year window
256,1,.//data/output/database.db,1.0196769811331e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.25859253520175407,1,32,0.7455919395465994,3,0.7482305358948432,0.7429718875502008,1,0.00321395085207936,0.1838746962851973,5,125,62,7609,0.32002548510166196,1,35,1555041485,.//models/window_5_years_quarterly/,60,7,180,3,0.7952134221564273,0.7997518610421837,0.7907262021589794,"[1, 2]",./data/output/tokenizer.pkl,0.9033960051924124,0.9087615838247683,0.8980934143701607,"[5, 6, 7, 8, 9, 10]",0.7952167414050823,0.8030188679245283,0.7875647668393783,"[3, 4]",0.2438983465198839,1951,0.0496214826098279,0.0496214826098279,1951-09-30,Five-year window
256,1,.//data/output/database.db,1.676509093196e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.3684750547822659,3,39,0.7590361445783131,3,0.75,0.7682926829268293,1,0.00163472253912644,0.06892107943806543,4,136,57,8755,0.31645394933981785,2,41,1554610017,.//models/window_5_years_quarterly/,60,10,115,3,0.7905021023992085,0.7924621869575998,0.7885516901060943,"[1, 2]",./data/output/tokenizer.pkl,0.8613503057531511,0.8551957706922187,0.8675940668733764,"[5, 6, 7, 8, 9, 10]",0.796268656716418,0.79745889387145,0.7950819672131147,"[3, 4]",0.2275623205903597,1951,0.03146595782089534,0.03146595782089534,1951-12-31,Five-year window
256,1,.//data/output/database.db,1.1208277279754e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.29475202480527113,1,39,0.7527839643652561,3,0.7477876106194691,0.757847533632287,1,0.00226039665290948,0.05470113420387478,5,84,61,7971,0.48888741957938775,2,44,1546496779,.//models/window_5_years_quarterly/,60,1,105,3,0.7892211148025101,0.7791545189504373,0.7995512341062079,"[1, 2]",./data/output/tokenizer.pkl,0.8680840482407062,0.84952952628163525,0.8874671637996779,"[5, 6, 7, 8, 9, 10]",0.7955188969592515,0.7802463173146583,0.811401305876444,"[3, 4]",0.4310680602398087,1952,0.03643715043725404,0.03643715043725404,1952-03-31,Five-year window
256,1,.//data/output/database.db,1.6795233021027e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.470234278852285,3,47,0.7630402384500745,3,0.7349282296650718,0.7933884297520661,1,0.00196162127789566,0.09970364683926626,4,131,83,9208,0.3134012750722165,2,49,1554443243,.//models/window_5_years_quarterly/,60,4,142,3,0.7961689587426327,0.7808285163776493,0.8121242484969939,"[1, 2]",./data/output/tokenizer.pkl,0.8432540509018204,0.8254770836731365,0.8618135376756066,"[5, 6, 7, 8, 9, 10]",0.7978169188786902,0.784390243902439,0.8117112569409389,"[3, 4]",0.1799040827385904,1952,0.0331287202925582,0.0331287202925582,1952-06-30,Five-year window
256,1,.//data/output/database.db,1.1221096652221e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.2076669214713731,3,37,0.7872622733303849,3,0.778652668416448,0.7960644007155635,1,0.00169647529575401,0.09531810453735448,4,189,70,7894,0.3847774726798884,2,50,1554784655,.//models/window_5_years_quarterly/,60,7,106,3,0.7887804878048781,0.7676240208877284,0.8111361926260346,"[1, 2]",./data/output/tokenizer.pkl,0.8574166666666667,0.8383443330888943,0.8773769932634092,"[5, 6, 7, 8, 9, 10]",0.7962529274004684,0.7768157768157768,0.8166877370417194,"[3, 4]",0.3946655402058179,1952,0.00151821447449318,0.00151821447449318,1952-09-30,Five-year window
256,1,.//data/output/database.db,9.638348593408242e-5,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.33958086285899325,2,22,0.7377938517179023,3,0.767879548306148,0.7099767981438515,1,0.00200126917842513,0.04863843402663139,5,118,55,5241,0.5888948205823196,1,31,1546687731,.//models/window_5_years_quarterly/,60,10,194,3,0.785519464418547,0.7781871775976419,0.792991239048811,"[1, 2]",./data/output/tokenizer.pkl,0.8503106118628202,0.8503829787234043,0.8502382573179034,"[5, 6, 7, 8, 9, 10]",0.7913777889827304,0.790281973816717,0.792476647311285,"[3, 4]",0.3095250960279306,1952,0.04772561270064468,0.04772561270064468,1952-12-31,Five-year window
256,1,.//data/output/database.db,1.3643524982728e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.1839405967877823,3,28,0.7320341047503046,3,0.7626903553299492,0.7037470725995316,1,0.00200924528828044,0.082412374408886,7,140,72,5315,0.4972873328669268,2,37,1554445953,.//models/window_5_years_quarterly/,60,1,175,3,0.7834227936587194,0.7771173848439822,0.7898313616914171,"[1, 2]",./data/output/tokenizer.pkl,0.8843916013154567,0.8718204488778055,0.8973305954825462,"[5, 6, 7, 8, 9, 10]",0.7888846975983905,0.7815146985550573,0.7963950241177964,"[3, 4]",0.4397499288857351,1953,0.05138868890841475,0.05138868890841475,1953-03-31,Five-year window
256,1,.//data/output/database.db,1.1935060094824e-4,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,100,0.17999642778846436,4,32,0.7876678269517654,3,0.7749510763209393,0.8008088978766431,1,0.00222760231532963,0.06356235524596991,4,120,82,6167,0.4089264570740545,1,45,1546500106,.//models/window_5_years_quarterly/,60,4,160,3,0.7812462335784018,0.7533705253370525,0.8112640801001252,"[1, 2]",./data/output/tokenizer.pkl,0.8636103620168343,0.8306217087164977,0.8993277167900604,"[5, 6, 7, 8, 9, 10]",0.7864729581247711,0.7611058601134215,0.8135892902248042,"[3, 4]",0.4685051512841057,1953,-0.00642159337336356,0.00642159337336356,1953-06-30,Five-year window
