year,quarter,number_of_articles,frontpage,page1to3,avg_n_articles_per_day,avg_n_pages_per_day,avg_n_frontpage_articles_per_day,avg_n_of_word_seg_in_title,min_n_of_word_seg_in_title,max_n_of_word_seg_in_title,avg_n_of_word_seg_in_body,min_n_of_word_seg_in_body,max_n_of_word_seg_in_body
1957,4,6548,0.0997251069028711,0.3451435552840562,73.22083078802687,8.023213194868662,7.245113011606597,19.296426389737324,1,96,1002.8295662797801,4,40247
1958,1,7142,0.09437132455894708,0.36418370204424533,83.59171100532063,8.234668160179222,7.619154298515822,18.96051526183142,1,103,934.9544945393448,3,31185
1958,2,7645,0.09431000654022237,0.40575539568345326,87.99306736429038,7.631131458469588,8.023937213865272,18.339960758665793,1,109,806.904643557881,0,24927
1958,3,7223,0.09982001938252803,0.39540357192302367,82.13526235636162,7.774055101758272,7.994323688218192,19.750657621486916,1,99,841.9041949328533,0,21578
1958,4,6241,0.09693959301394008,0.37413875981413236,69.96298670084923,7.992949847780804,6.725684986380387,20.532126261817016,1,116,1031.7143086043902,0,22944
1959,1,5531,0.09473874525402277,0.3874525402278069,63.628819381666965,7.916109202675827,5.899837280781052,20.330862411860423,1,99,1135.0719580546013,0,78183
1959,2,6427,0.08588766142834915,0.33997199315388205,72.96670297183756,9.478139100669052,6.048234012758674,20.926404232145636,1,101,1201.1823556869456,0,31328
1959,3,6011,0.08850440858426219,0.35335218765596405,67.53901181167859,8.61720179670604,5.939943437032108,21.24338712360672,1,110,1128.158875395109,0,28211
1959,4,5793,0.09252546176419817,0.3550837217331262,64.81909200759537,8.285171759019507,5.852408078715691,21.86656309338857,1,110,1171.7464180907994,0,43881
1960,1,5532,0.09526391901663052,0.3732827187274042,62.35647143890094,7.906001446131598,5.846167751265365,22.90003615328995,1,125,1145.6619667389732,0,34567
1960,2,6140,0.08664495114006515,0.30374592833876224,71.04788273615635,10.428013029315961,5.798371335504886,26.23729641693811,1,124,1386.7105863192182,0,44114
1960,3,5861,0.09554683501109026,0.34533356082579764,64.54035147585736,8,6.131206278792015,25.48268213615424,1,109,1105.5586077461185,0,31975
1960,4,6198,0.08760890609874153,0.3346240722813811,69.04517586318167,7.967086156824783,5.982897708938367,25.317199096482735,1,106,1046.1147144240078,0,28510
1961,1,5690,0.10562390158172232,0.44059753954305797,66.86994727592267,7.603514938488576,6.729349736379613,22.160281195079087,1,106,896.4641476274165,0,14086
1961,2,5834,0.10935893040795337,0.44034967432293454,68.07439149811451,7.670894754885156,7.087761398697292,23.143983544737743,1,111,908.1035310250257,2,12596
1961,3,5743,0.1105693888211736,0.4516803064600383,65.11283301410413,7.633815079226885,6.924952115619014,22.225666028208252,1,107,940.3384990423124,5,72794
1961,4,5129,0.1294599337102749,0.5665821797621369,58.88769740690193,6.358744394618834,7.287775394813804,22.47787093000585,1,106,879.0495223240398,0,44556
1962,1,4766,0.1498111624003357,0.6128829206882082,54.7247167436005,5.736886277801091,8.058120016785564,23.01993285774234,1,101,831.1903063365505,0,18397
1962,2,4611,0.17263066579917588,0.682498373454782,52.764042507048366,5.4929516373888525,8.934287573194535,22.109303838646714,1,126,839.0876165690739,5,20168
1962,3,4263,0.19798264133239502,0.7466572836030964,48.42434904996481,5.027445460942998,9.346469622331691,22.462115880835093,1,113,860.0586441473141,0,45196
1962,4,4062,0.18168389955686853,0.6762678483505662,46.30969965534219,5.136632200886263,8.173067454455934,26.48055145248646,1,127,900.2868045297882,0,21361
1963,1,3991,0.1611125031320471,0.6421949386118767,46.88323728388875,5.396642445502381,7.410674016537209,23.4191931846655,0,125,983.4562766224004,0,32362
1963,2,4219,0.14885043849253377,0.5935055700402939,48.76155487082247,5.509125385162361,7.054041242000474,23.357904716757524,1,118,907.3351505095994,4,26805
1963,3,3630,0.14765840220385676,0.5495867768595041,43.02314049586777,5.602754820936639,6.1652892561983474,23.57961432506887,1,109,1127.3691460055097,0,35434
1963,4,4018,0.15978098556495768,0.5913389746142359,47.05326032852165,5.479840716774515,7.235440517670483,24.766052762568442,2,106,965.0970632155302,6,31970
1964,1,3630,0.14738292011019283,0.5584022038567493,41.936088154269974,5.8661157024793384,6.015702479338843,24.0732782369146,1,124,1112.1085399449037,0,36899
1964,2,4492,0.14180765805877116,0.5574354407836153,51.123775601068566,6.309884238646482,7.11353517364203,23.941896705253786,1,109,1005.2230632235085,0,65090
1964,3,4327,0.1377397735151375,0.4980355904783915,49.80101687081119,6.270164085971805,6.637162006008782,26.45990293505893,1,116,1083.7231338109546,0,88879
1964,4,4397,0.14373436433932227,0.5585626563566067,50.88901523766204,6.264271093927678,7.047077552876962,25.59358653627473,1,116,963.2351603365931,0,30006
1965,1,3917,0.14603012509573654,0.5491447536379882,44.906561143732446,5.905029359203472,6.416390094460046,27.339034975746745,0,128,1015.2953791166709,0,48044
1965,2,4166,0.1471435429668747,0.4911185789726356,47.070091214594335,5.988958233317331,6.848535765722516,27.83677388382141,2,117,998.9855976956313,0,28379
1965,3,4161,0.15428983417447728,0.5159817351598174,47.15044460466234,6,7.078827204998799,26.585195866378275,1,124,1017.9007450132179,0,38816
