meta_layer,meta_neurons,meta_dropout,lstm1_max_len,lstm1_neurons,lstm1_dropout,lstm1_layer,fc_neurons,fc_dropout,fc_layer,max_words,lr,n_embedding,decay,w,month_window,forecast_period,batch_size,patience,epochs,testing_group,validation_group,training_group,data_text,embedding_matrix_path,embedding_path,tokenizer,model_folder,year_target,mt_target,body_text_combined,frontpage,mod_id,test_precision,test_recall,test_F1,train_precision,train_recall,train_F1,val_precision,val_recall,val_F1,forecast_precision,forecast_recall,forecast_F1,diff,pci
1,43,0.43114959871931763,117,62,0.11858893202620381,4,54,0.34221561910727827,2,10315,0.002567275546474004,144,6.974496820947245e-05,0.314233813937219,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1950,1,1,1,1546513270,0.8686157097569567,0.819813829787234,0.8435094920472037,0.9685113382681236,0.9308865047995483,0.9493262697224462,0.8635724331926864,0.8211300568371782,0.8418166238217653,0.6404494382022472,0.4322274881516588,0.5161290322580646,0.3273804597891391,0.3273804597891391
1,46,0.30783438186226025,96,63,0.13208645479017486,8,38,0.41962937679083107,1,10038,0.0034713202680047087,148,0.00011459977736879023,0.31626109971705046,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1950,10,1,1,1546611852,0.8425364077669902,0.7656465398400882,0.8022533583706487,0.9444388827710481,0.8827547487601759,0.9125556200425614,0.8394204648354965,0.7710008317161076,0.803757225433526,0.5823899371069182,0.5150166852057843,0.5466351829988193,0.2556181753718294,0.2556181753718294
1,58,0.48062001298974405,111,61,0.12098571380476662,3,42,0.4541958594331984,3,10419,0.002267196480010718,200,6.653913395552943e-05,0.3521106902254281,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1950,4,1,1,1546610865,0.7891194615816041,0.8736417261719963,0.8292323559746575,0.860725272676424,0.9734317343173432,0.9136156738571146,0.7770966843131791,0.8707461754605058,0.8212603062426385,0.5429616087751371,0.591044776119403,0.5659838018103859,0.2632485541642716,0.2632485541642716
2,41,0.45840781495058175,143,46,0.14328351934916894,5,33,0.25980304353064654,2,10925,0.002348674387651044,205,0.00015391103089402235,0.38390448462594473,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1950,7,1,1,1548391855,0.8395511070670306,0.8084112149532711,0.8236869513465258,0.90783737199635,0.8878532473971245,0.8977341086825747,0.8245877061469266,0.8076358296622613,0.8160237388724035,0.6056338028169014,0.5124131082423039,0.555137170521786,0.2685497808247398,0.2685497808247398
1,40,0.4515356948582292,99,45,0.1383046886337942,6,44,0.3176370719246393,1,7898,0.003755466329355272,172,0.0001142037916652967,0.35868250812784547,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1951,1,1,1,1546612286,0.8220315527262663,0.7795275590551181,0.8002155462750908,0.9091923041174831,0.8716806273391552,0.8900413993903826,0.8206401766004415,0.7851108764519535,0.8024824608742579,0.6753864447086801,0.6367713004484304,0.6555106751298326,0.1447048711452582,0.1447048711452582
1,51,0.5573681335341341,60,64,0.13159943190582377,6,32,0.29836647599406113,2,12372,0.002885809162842909,182,6.17866202175954e-05,0.33822032185174805,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1951,10,1,1,1548393772,0.8134083450539147,0.7906128958760538,0.8018486424032353,0.893796992481203,0.8828717313940895,0.888300770607924,0.798469387755102,0.7896788990825688,0.794049815498155,0.7927083333333333,0.7733739837398373,0.7829218106995885,0.01892683170364673,0.01892683170364673
1,41,0.5085508695406684,85,53,0.13967452041285128,7,46,0.3579108933606155,2,10406,0.003188291057641528,205,7.590054274141973e-05,0.33031931661791414,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1951,4,1,1,1546513784,0.8347705146036162,0.7521303258145363,0.7912986156888596,0.935272130549731,0.8727350063802637,0.9029220207709909,0.8272778088317496,0.7461557852281321,0.784625579854208,0.793854033290653,0.6411582213029989,0.7093821510297482,0.0819164646591114,0.0819164646591114
1,52,0.6708348589096603,81,58,0.18459810282654146,5,36,0.2701394903225665,3,10215,0.002773520285299535,199,8.139312015126197e-05,0.34155024854333504,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1951,7,1,1,1548393213,0.8225641025641026,0.7663640707118968,0.7934701953994558,0.8984991096413126,0.8592280246513136,0.8784248704663212,0.818158567774936,0.7688055755827926,0.7927146574154379,0.7513340448239061,0.7068273092369478,0.7284014485256078,0.065068746873848,0.065068746873848
3,40,0.44121507426670104,81,62,0.1725942561068913,5,36,0.29989605784484824,3,13229,0.0030745662232936977,215,4.692998947243675e-05,0.3364809247021178,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1952,1,1,1,1546613756,0.8007189395641429,0.7766397908040967,0.7884955752212389,0.9107479099194095,0.8949082297217288,0.9027585949456867,0.809425760695493,0.7762176393154893,0.79247396124986,0.770935960591133,0.7017937219730942,0.7347417840375587,0.05375379118368018,0.05375379118368018
1,41,0.7189132430471137,79,61,0.20097006588781766,6,39,0.30082790273171994,1,9102,0.0032709601071024648,182,8.050830949789909e-05,0.3245666223135944,120,3,256,3,100,"[1, 2]","[3, 4]","[5, 6, 7, 8, 9, 10]",.//data/output/database.db,.//data/output/embedding_matrix.pkl,.//data/output/embedding.pkl,./data/output/tokenizer.pkl,.//models/window_10_years_quarterly/,1952,10,1,1,1546615156,0.8196923076923077,0.7693492491336157,0.7937233091667494,0.9085420240137221,0.8662262052724538,0.8868796463733174,0.8120285423037716,0.7724980605120249,0.7917702017692079,0.8287560581583199,0.5951276102088167,0.6927751519243754,0.10094815724237394,0.10094815724237394
